Above Threshold?,Birth Rate Bin,Country/Region,Ease of Business (clusters),GDP per Capita (bin),Region,Year,Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Ease of Business,Energy Usage,GDP,GDP per Capita,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
Above Threshold,Above 3%,Sierra Leone,Moderate,$0,Africa,12/1/2010,3.8%,235%,689,12,,,$3B,$448,15.4%,$69,357,0.114,1%,0.213,45,45,45,35%,1,0.422,0.553,0.026,5.8M,38.2%,$0B,$0B
Below Threshold,Above 3%,Guinea,Low,$0,Africa,12/1/2010,3.8%,88%,1236,40,,,$5B,$435,6.2%,$27,416,0.071,1%,,56,56,55,37%,1,0.428,0.54,0.032,10.9M,34.9%,$0B,$0B
Below Threshold,Above 3%,Benin,Low,$0,Africa,12/1/2010,3.8%,66%,5189,31,,3653,$7B,$690,4.3%,$30,270,0.062,3%,,59,60,57,74%,1,0.434,0.537,0.029,9.5M,41.9%,$0B,$0B
Below Threshold,Above 3%,Eritrea,Low,$0,Africa,12/1/2010,3.8%,85%,513,84,,745,$2B,$369,3.2%,$12,216,0.039,1%,,62,64,59,3%,1,0.43,0.549,0.021,5.7M,20.6%,,
Below Threshold,Above 3%,Guinea-Bissau,Low,$0,Africa,12/1/2010,3.9%,46%,238,216,,,$1B,$527,7.1%,$38,208,0.085,3%,,54,55,52,43%,1,0.419,0.551,0.03,1.6M,45.2%,$0B,$0B
Below Threshold,Above 3%,Cameroon,Low,$0,Africa,12/1/2010,3.9%,49%,7235,19,,6944,$22B,"$1,091",5.3%,$57,654,0.066,4%,,54,55,53,42%,1,0.434,0.533,0.032,20.6M,51.5%,$0B,$0B
Below Threshold,Above 3%,Congo (Brazzaville),Low,$0,Africa,12/1/2010,3.9%,66%,2028,161,,1511,$12B,"$2,920",2.3%,$67,606,0.042,5%,,58,59,56,90%,1,0.422,0.544,0.034,4.1M,63.2%,,
Below Threshold,Above 3%,Senegal,Low,$0,Africa,12/1/2010,3.9%,46%,7059,9,,3426,$13B,$999,4.8%,$48,666,0.047,16%,,63,64,61,64%,1,0.436,0.533,0.031,13.0M,42.2%,$0B,$0B
Below Threshold,Above 3%,Mozambique,Moderate,$0,Africa,12/1/2010,4.1%,38%,2882,13,,9875,$9B,$387,5.7%,$22,230,0.072,4%,0.163,49,50,48,30%,1,0.453,0.514,0.032,24.0M,31.0%,$0B,$0B
Below Threshold,Above 3%,Malawi,Low,$0,Africa,12/1/2010,4.1%,26%,1239,39,,,$5B,$360,8.5%,$30,157,0.053,2%,0.246,54,54,53,21%,1,0.458,0.511,0.031,15.0M,15.5%,$0B,$0B
Below Threshold,Above 3%,Tanzania,Moderate,$0,Africa,12/1/2010,4.1%,44%,6846,26,,20043,$23B,$510,7.2%,$37,172,0.041,3%,0.145,59,60,58,47%,1,0.448,0.52,0.031,45.0M,28.1%,$1B,$1B
Below Threshold,Above 3%,Nigeria,Moderate,$0,Africa,12/1/2010,4.2%,32%,78910,25,,115138,$369B,"$2,310",5.6%,$80,938,0.082,24%,0.176,52,52,51,55%,1,0.44,0.532,0.027,159.7M,43.5%,$1B,$8B
Below Threshold,Above 3%,Zambia,Friendly,$0,Africa,12/1/2010,4.3%,14%,2428,18,,8054,$16B,"$1,225",6.1%,$75,183,0.064,10%,0.209,55,56,53,41%,1,0.469,0.504,0.027,13.2M,38.7%,$0B,$0B
Below Threshold,Above 3%,Burkina Faso,Low,$0,Africa,12/1/2010,4.3%,45%,1683,14,,,$9B,$593,7.4%,$41,270,0.07,2%,,55,56,54,37%,1,0.46,0.515,0.025,15.5M,25.7%,$0B,$0B
Below Threshold,Above 3%,"Gambia, The",Low,$0,Africa,12/1/2010,4.3%,292%,473,27,,,$1B,$566,4.7%,$27,376,0.052,9%,0.27,58,59,57,88%,1,0.46,0.515,0.025,1.7M,56.3%,$0B,$0B
Below Threshold,Above 3%,Congo (Kinshasa),Low,$0,Africa,12/1/2010,4.4%,339%,3040,84,,23766,$21B,$330,7.0%,$15,336,0.092,1%,0.565,49,51,47,19%,1,0.455,0.517,0.028,62.2M,39.9%,$0B,$0B
Below Threshold,Above 3%,Burundi,Low,$0,Africa,12/1/2010,4.5%,155%,308,13,,,$2B,$220,8.8%,$19,211,0.061,1%,0.124,53,54,51,18%,1,0.439,0.535,0.025,9.2M,10.6%,$0B,$0B
Below Threshold,Above 3%,Somalia,Not Clustered,,Africa,12/1/2010,4.5%,,609,,,,,,,,,0.097,,,54,56,52,7%,1,0.477,0.495,0.028,9.6M,37.3%,,
Below Threshold,Above 3%,Uganda,Moderate,$0,Africa,12/1/2010,4.5%,35%,3784,24,,,$16B,$472,9.2%,$43,161,0.051,13%,0.202,57,58,56,38%,1,0.489,0.487,0.024,34.0M,14.5%,$1B,$0B
Below Threshold,Above 3%,Angola,Low,$0,Africa,12/1/2010,4.6%,52%,30418,66,,13378,$82B,"$4,219",3.4%,$144,282,0.11,10%,0.225,51,52,49,48%,1,0.478,0.498,0.024,19.5M,40.1%,$1B,$0B
Below Threshold,Above 3%,Chad,Low,$0,Africa,12/1/2010,4.7%,76%,469,64,,,$11B,$909,4.0%,$29,732,0.094,2%,,50,51,49,25%,1,0.488,0.487,0.025,11.7M,22.0%,,
Below Threshold,Above 3%,Mali,Low,$0,Africa,12/1/2010,4.8%,51%,623,8,,,$9B,$674,6.9%,$46,270,0.083,2%,,54,54,54,53%,1,0.468,0.503,0.029,14.0M,36.0%,$0B,$0B
Below Threshold,Above 3%,Niger,Low,$0,Africa,12/1/2010,5.0%,47%,1412,17,,,$6B,$360,6.9%,$24,270,0.066,1%,,57,57,57,23%,1,0.498,0.476,0.026,15.9M,17.6%,$0B,
Below Threshold,Below 1.5%,Mauritius,Very Friendly,"$4,688",Africa,12/1/2011,1.1%,28%,,6,,,$11B,"$8,750",4.9%,$450,161,0.013,35%,0.089,74,77,70,105%,1,0.206,0.713,0.08,1.3M,40.4%,$2B,$0B
Below Threshold,1.5-3%,Seychelles,Friendly,"$9,376",Africa,12/1/2011,1.9%,32%,,39,,,$1B,"$12,118",3.6%,$413,76,0.012,43%,0.112,73,78,68,138%,1,0.222,0.702,0.076,0.1M,52.6%,$0B,$0B
Below Threshold,1.5-3%,Tunisia,Very Friendly,$0,Africa,12/1/2011,1.9%,62%,,11,,9504,$46B,"$4,305",7.0%,$304,144,0.014,39%,,75,77,73,115%,1,0.233,0.697,0.07,10.7M,66.1%,$3B,$1B
Below Threshold,1.5-3%,South Africa,Very Friendly,"$4,688",Africa,12/1/2011,2.1%,32%,,19,,141372,$404B,"$7,833",8.7%,$670,200,0.034,34%,0.09,55,57,53,123%,1,0.296,0.651,0.053,51.6M,62.7%,$11B,$8B
Below Threshold,1.5-3%,Morocco,Friendly,$0,Africa,12/1/2011,2.2%,50%,,12,,17283,$99B,"$3,095",6.3%,$195,238,0.028,46%,,71,72,69,114%,1,0.279,0.671,0.05,32.1M,58.2%,$9B,$2B
Below Threshold,1.5-3%,Libya,Low,"$4,688",Africa,12/1/2011,2.2%,,,,,13342,$35B,"$5,685",3.9%,$211,,0.014,14%,0.06,75,77,73,164%,1,0.294,0.659,0.046,6.1M,77.8%,,
Below Threshold,1.5-3%,Botswana,Friendly,"$4,688",Africa,12/1/2011,2.4%,20%,,60,,2215,$15B,"$7,697",5.2%,$404,152,0.039,8%,0.11,47,46,47,146%,1,0.34,0.625,0.035,2.0M,56.5%,$0B,$0B
Below Threshold,1.5-3%,Egypt,Moderate,$0,Africa,12/1/2011,2.4%,44%,,8,,77649,$236B,"$2,973",4.9%,$137,433,0.019,40%,0.11,71,73,68,105%,1,0.314,0.631,0.056,79.4M,43.0%,$9B,$3B
Below Threshold,1.5-3%,Algeria,Low,"$4,688",Africa,12/1/2011,2.5%,72%,,25,,41852,$199B,"$5,270",4.4%,$233,451,0.023,14%,0.08,71,72,69,94%,1,0.272,0.681,0.047,37.8M,68.2%,$0B,$1B
Below Threshold,1.5-3%,Namibia,Friendly,"$4,688",Africa,12/1/2011,2.7%,22%,,66,,1589,$12B,"$5,615",8.6%,$486,339,0.036,12%,0.087,64,66,61,99%,1,0.371,0.594,0.035,2.2M,42.6%,$1B,$0B
Below Threshold,1.5-3%,Lesotho,Moderate,$0,Africa,12/1/2011,2.8%,16%,,40,,,$2B,"$1,226",11.7%,$146,324,0.073,4%,0.104,48,48,48,61%,1,0.372,0.586,0.042,2.0M,25.3%,$0B,$0B
Below Threshold,1.5-3%,Djibouti,Low,$0,Africa,12/1/2011,2.8%,38%,,37,,,$1B,"$1,464",8.7%,$119,82,0.061,7%,0.106,61,62,59,23%,1,0.339,0.623,0.038,0.8M,77.1%,$0B,$0B
Below Threshold,Above 3%,Swaziland,Moderate,$0,Africa,12/1/2011,3.1%,37%,,56,,,$4B,"$3,420",8.3%,$270,104,0.058,18%,0.09,49,48,49,63%,1,0.384,0.582,0.034,1.2M,21.4%,,
Below Threshold,Above 3%,Zimbabwe,Low,$0,Africa,12/1/2011,3.2%,34%,,90,,9312,$11B,$820,,,242,0.058,16%,,56,56,55,69%,1,0.408,0.552,0.04,13.4M,33.0%,$1B,
Below Threshold,Above 3%,Ghana,Friendly,$0,Africa,12/1/2011,3.2%,33%,,12,,10550,$40B,"$1,594",5.3%,$83,224,0.054,14%,,61,62,60,85%,1,0.388,0.577,0.035,24.8M,51.4%,$1B,$1B
Below Threshold,Above 3%,Gabon,Low,"$9,376",Africa,12/1/2011,3.2%,44%,,57,,1997,$19B,"$11,792",3.4%,$401,488,0.042,8%,,63,64,62,149%,1,0.385,0.562,0.053,1.6M,86.0%,,
Below Threshold,Above 3%,Sudan,Moderate,$0,Africa,12/1/2011,3.4%,36%,,36,,16622,$67B,"$1,848",6.7%,$119,180,0.054,17%,,62,63,60,69%,1,0.418,0.551,0.032,36.4M,33.2%,$0B,$1B
Below Threshold,Above 3%,Ethiopia,Moderate,$0,Africa,12/1/2011,3.4%,30%,,15,,34064,$31B,$351,4.1%,$14,198,0.048,1%,,63,64,61,16%,1,0.439,0.528,0.033,89.4M,17.7%,$2B,$0B
Below Threshold,Above 3%,Central African Republic,Low,$0,Africa,12/1/2011,3.5%,55%,,22,,,$2B,$495,3.9%,$19,504,0.1,2%,,49,51,47,22%,1,0.404,0.558,0.039,4.4M,39.0%,,
Below Threshold,Above 3%,Mauritania,Low,$0,Africa,12/1/2011,3.5%,68%,,19,,,$4B,"$1,117",5.9%,$51,696,0.069,5%,0.17,62,63,60,90%,1,0.404,0.565,0.031,3.7M,57.3%,,
Below Threshold,Above 3%,Madagascar,Moderate,$0,Africa,12/1/2011,3.5%,37%,,8,,,$10B,$455,4.1%,$19,201,0.042,2%,0.525,64,65,62,40%,1,0.431,0.541,0.028,21.7M,32.6%,,
Below Threshold,Above 3%,Equatorial Guinea,Low,"$18,752",Africa,12/1/2011,3.6%,44%,,135,,,$16B,"$21,950",4.5%,"$1,051",492,0.073,12%,,53,54,51,67%,1,0.391,0.58,0.029,0.7M,39.3%,,
Below Threshold,Above 3%,Comoros,Low,$0,Africa,12/1/2011,3.6%,218%,,22,,,$1B,$872,3.6%,$31,100,0.061,6%,0.105,61,62,59,31%,1,0.422,0.549,0.029,0.7M,28.0%,$0B,$0B
Below Threshold,Above 3%,Kenya,Moderate,$0,Africa,12/1/2011,3.6%,49%,,33,,20179,$34B,$816,4.4%,$35,393,0.05,28%,0.15,61,62,59,67%,1,0.425,0.549,0.026,42.0M,24.0%,$2B,$0B
Below Threshold,Above 3%,Rwanda,Friendly,$0,Africa,12/1/2011,3.6%,31%,,3,,,$6B,$575,11.0%,$62,148,0.041,7%,,63,65,61,40%,1,0.442,0.535,0.023,11.1M,24.9%,$0B,$0B
Below Threshold,Above 3%,Sao Tome and Principe,Low,$0,Africa,12/1/2011,3.6%,33%,,10,,,$0B,"$1,355",7.6%,$108,424,0.039,20%,0.27,66,68,64,63%,1,0.416,0.549,0.035,0.2M,62.6%,$0B,$0B
Below Threshold,Above 3%,Cote d'Ivoire,Low,$0,Africa,12/1/2011,3.7%,44%,,32,,11233,$24B,"$1,242",6.8%,$84,270,0.075,2%,,50,51,49,89%,1,0.417,0.552,0.031,19.4M,51.3%,,
Below Threshold,Above 3%,South Sudan,Low,$0,Africa,12/1/2011,3.7%,,,,,,$21B,"$2,002",1.7%,$32,,0.068,,,54,55,53,17%,1,0.426,0.54,0.034,10.4M,18.0%,,
Below Threshold,Above 3%,Togo,Low,$0,Africa,12/1/2011,3.7%,49%,,84,,2764,$4B,$580,8.0%,$43,270,0.059,4%,,56,57,55,42%,1,0.42,0.553,0.027,6.5M,38.0%,,
Below Threshold,Above 3%,Benin,Low,$0,Africa,12/1/2011,3.7%,66%,,29,,3761,$7B,$746,4.5%,$34,270,0.06,4%,,59,60,58,79%,1,0.432,0.539,0.029,9.8M,42.3%,$0B,
Above Threshold,Above 3%,Liberia,Low,$0,Africa,12/1/2011,3.7%,43%,,6,,,$2B,$377,15.6%,$59,158,0.058,3%,0.138,60,61,59,50%,1,0.432,0.537,0.031,4.1M,48.2%,$0B,$0B
Above Threshold,Above 3%,Sierra Leone,Moderate,$0,Africa,12/1/2011,3.8%,32%,,12,,,$3B,$500,16.3%,$82,357,0.112,1%,0.21,45,45,45,36%,1,0.42,0.554,0.026,5.9M,38.6%,$0B,$0B
Below Threshold,Above 3%,Guinea-Bissau,Low,$0,Africa,12/1/2011,3.8%,46%,,9,,,$1B,$596,6.3%,$35,208,0.082,3%,,54,55,52,45%,1,0.417,0.553,0.029,1.6M,46.1%,,
Below Threshold,Above 3%,Cameroon,Low,$0,Africa,12/1/2011,3.8%,49%,,15,,6720,$25B,"$1,205",5.4%,$64,654,0.064,5%,,54,55,53,50%,1,0.432,0.535,0.032,21.2M,52.1%,$0B,$1B
Below Threshold,Above 3%,Guinea,Low,$0,Africa,12/1/2011,3.8%,91%,,40,,,$5B,$454,6.0%,$27,416,0.069,1%,,56,56,55,44%,1,0.427,0.542,0.031,11.2M,35.3%,$0B,$0B
Below Threshold,Above 3%,Congo (Brazzaville),Low,$0,Africa,12/1/2011,3.8%,65%,,161,,1659,$14B,"$3,414",2.5%,$85,606,0.039,6%,,58,59,56,92%,1,0.423,0.543,0.034,4.2M,63.7%,,
Below Threshold,Above 3%,Eritrea,Low,$0,Africa,12/1/2011,3.8%,85%,,84,,765,$3B,$440,2.7%,$12,216,0.038,1%,,62,64,59,4%,1,0.431,0.548,0.022,5.9M,21.0%,,
Below Threshold,Above 3%,Senegal,Low,$0,Africa,12/1/2011,3.8%,46%,,6,,3515,$14B,"$1,083",5.0%,$54,666,0.046,18%,,64,65,62,70%,1,0.436,0.534,0.031,13.3M,42.5%,,
Below Threshold,Above 3%,Mozambique,Moderate,$0,Africa,12/1/2011,4.0%,38%,,13,,10202,$13B,$510,6.4%,$33,230,0.068,4%,0.191,50,50,49,32%,1,0.454,0.514,0.032,24.6M,31.2%,$0B,$0B
Below Threshold,Above 3%,Malawi,Low,$0,Africa,12/1/2011,4.0%,29%,,39,,,$6B,$364,8.3%,$30,157,0.049,3%,0.238,54,54,54,26%,1,0.456,0.512,0.031,15.5M,15.7%,$0B,$0B
Below Threshold,Above 3%,Tanzania,Moderate,$0,Africa,12/1/2011,4.0%,45%,,26,,20747,$24B,$515,7.4%,$38,172,0.039,4%,0.15,60,61,59,55%,1,0.449,0.52,0.031,46.4M,28.8%,$1B,$1B
Below Threshold,Above 3%,Nigeria,Moderate,$0,Africa,12/1/2011,4.2%,33%,,28,,118325,$412B,"$2,509",5.7%,$85,938,0.079,28%,0.16,52,52,51,58%,1,0.441,0.531,0.027,164.2M,44.4%,$1B,$10B
Below Threshold,Above 3%,Burkina Faso,Low,$0,Africa,12/1/2011,4.2%,44%,,13,,,$10B,$650,6.4%,$39,270,0.068,3%,,56,56,55,48%,1,0.458,0.517,0.025,16.0M,26.5%,,
Below Threshold,Above 3%,Zambia,Friendly,$0,Africa,12/1/2011,4.3%,14%,,18,,8462,$19B,"$1,408",6.2%,$87,183,0.059,12%,0.188,56,57,54,60%,1,0.468,0.505,0.026,13.6M,39.2%,$0B,$0B
Below Threshold,Above 3%,"Gambia, The",Low,$0,Africa,12/1/2011,4.3%,283%,,27,,,$1B,$518,4.7%,$24,376,0.051,11%,0.28,59,60,57,81%,1,0.459,0.516,0.025,1.7M,57.0%,$0B,$0B
Below Threshold,Above 3%,Congo (Kinshasa),Low,$0,Africa,12/1/2011,4.4%,339%,,65,,24497,$24B,$373,6.1%,$15,336,0.09,1%,0.438,50,51,48,25%,1,0.453,0.519,0.028,63.9M,40.4%,$0B,$0B
Below Threshold,Above 3%,Uganda,Moderate,$0,Africa,12/1/2011,4.4%,35%,,33,,,$15B,$441,9.3%,$41,213,0.049,13%,0.218,58,59,57,48%,1,0.487,0.489,0.024,35.1M,14.8%,$1B,$1B
Below Threshold,Above 3%,Burundi,Low,$0,Africa,12/1/2011,4.5%,52%,,13,,,$2B,$247,9.0%,$21,274,0.059,1%,0.132,53,55,51,20%,1,0.44,0.535,0.025,9.5M,10.9%,$0B,$0B
Below Threshold,Above 3%,Somalia,Not Clustered,,Africa,12/1/2011,4.5%,,,,,,,,,,,0.095,1%,,55,56,53,18%,1,0.475,0.496,0.028,9.9M,37.7%,,
Below Threshold,Above 3%,Angola,Low,"$4,688",Africa,12/1/2011,4.6%,52%,,66,,13576,$104B,"$5,153",3.4%,$178,282,0.107,15%,0.188,52,53,50,53%,1,0.477,0.499,0.024,20.2M,40.9%,$1B,$0B
Below Threshold,Above 3%,Chad,Low,$0,Africa,12/1/2011,4.7%,76%,,55,,,$12B,"$1,006",2.8%,$25,732,0.092,2%,,50,51,49,30%,1,0.487,0.488,0.025,12.1M,22.0%,,
Below Threshold,Above 3%,Mali,Low,$0,Africa,12/1/2011,4.8%,51%,,8,,,$11B,$739,6.8%,$51,270,0.081,2%,,54,54,54,75%,1,0.47,0.502,0.029,14.4M,36.8%,$0B,$0B
Below Threshold,Above 3%,Niger,Low,$0,Africa,12/1/2011,5.0%,44%,,17,,,$6B,$388,6.8%,$25,270,0.064,1%,,58,58,57,29%,1,0.499,0.475,0.026,16.5M,17.8%,$0B,
Below Threshold,Below 1.5%,Mauritius,Very Friendly,"$4,688",Africa,12/1/2012,1.1%,28%,,6,20,,$11B,"$8,862",4.8%,$444,161,0.013,35%,0.087,74,77,70,120%,1,0.202,0.715,0.084,1.3M,40.2%,$2B,$0B
Below Threshold,1.5-3%,Seychelles,Friendly,"$9,376",Africa,12/1/2012,1.9%,26%,,39,77,,$1B,"$11,689",4.7%,$521,76,0.012,47%,0.122,73,78,68,148%,1,0.221,0.702,0.077,0.1M,52.9%,$0B,$0B
Below Threshold,1.5-3%,Tunisia,Very Friendly,$0,Africa,12/1/2012,1.9%,62%,,11,49,,$45B,"$4,197",7.0%,$297,144,0.014,41%,,75,77,73,118%,1,0.232,0.697,0.071,10.8M,66.3%,$3B,$1B
Below Threshold,1.5-3%,South Africa,Very Friendly,"$4,688",Africa,12/1/2012,2.1%,33%,,19,41,,$382B,"$7,308",8.8%,$645,200,0.034,41%,0.088,56,58,54,131%,1,0.295,0.65,0.054,52.3M,63.3%,$11B,$7B
Below Threshold,1.5-3%,Libya,Low,"$9,376",Africa,12/1/2012,2.1%,32%,,35,188,,$82B,"$13,303",3.9%,$578,889,0.013,,0.06,75,77,73,156%,1,0.295,0.658,0.047,6.2M,78.0%,,$3B
Below Threshold,1.5-3%,Morocco,Friendly,$0,Africa,12/1/2012,2.3%,50%,,12,95,,$96B,"$2,951",6.4%,$190,238,0.027,55%,,71,72,69,120%,1,0.278,0.672,0.05,32.5M,58.7%,$8B,$2B
Below Threshold,1.5-3%,Botswana,Friendly,"$4,688",Africa,12/1/2012,2.4%,25%,,60,65,,$15B,"$7,255",5.3%,$384,152,0.037,12%,0.11,47,46,48,154%,1,0.338,0.627,0.036,2.0M,56.7%,$0B,$0B
Below Threshold,1.5-3%,Egypt,Moderate,$0,Africa,12/1/2012,2.4%,43%,,8,127,,$263B,"$3,258",5.0%,$152,392,0.019,44%,0.12,71,73,69,120%,1,0.312,0.631,0.056,80.7M,43.0%,$11B,$3B
Below Threshold,1.5-3%,Algeria,Low,"$4,688",Africa,12/1/2012,2.5%,72%,,25,151,,$204B,"$5,301",5.2%,$279,451,0.022,15%,0.08,71,73,69,98%,1,0.274,0.679,0.047,38.5M,68.9%,$0B,$1B
Below Threshold,1.5-3%,Namibia,Friendly,"$4,688",Africa,12/1/2012,2.6%,22%,,66,94,,$13B,"$5,931",8.3%,$473,314,0.036,13%,0.087,64,67,61,95%,1,0.366,0.599,0.035,2.3M,43.7%,,
Below Threshold,1.5-3%,Lesotho,Moderate,$0,Africa,12/1/2012,2.8%,16%,,29,139,,$2B,"$1,135",11.6%,$138,324,0.074,5%,0.101,49,49,49,75%,1,0.368,0.591,0.042,2.1M,25.8%,$0B,$0B
Below Threshold,1.5-3%,Djibouti,Low,$0,Africa,12/1/2012,2.8%,38%,,37,172,,$1B,"$1,575",8.8%,$129,82,0.059,8%,,62,63,60,25%,1,0.337,0.624,0.039,0.9M,77.1%,$0B,$0B
Below Threshold,Above 3%,Swaziland,Moderate,$0,Africa,12/1/2012,3.0%,37%,,56,120,,$4B,"$3,290",8.5%,$259,104,0.057,21%,0.088,49,48,49,65%,1,0.38,0.585,0.034,1.2M,21.4%,,
Below Threshold,Above 3%,Ghana,Friendly,$0,Africa,12/1/2012,3.1%,33%,,12,62,,$42B,"$1,646",5.2%,$83,224,0.053,12%,,61,62,60,101%,1,0.386,0.579,0.035,25.4M,52.1%,$1B,$1B
Below Threshold,Above 3%,Zimbabwe,Low,$0,Africa,12/1/2012,3.2%,35%,,90,168,,$12B,$909,,,242,0.055,17%,,58,59,57,92%,1,0.402,0.558,0.039,13.7M,32.8%,$1B,
Below Threshold,Above 3%,Gabon,Low,"$9,376",Africa,12/1/2012,3.2%,44%,,57,169,,$18B,"$10,930",3.5%,$397,488,0.04,9%,,63,64,62,180%,1,0.385,0.563,0.052,1.6M,86.4%,,
Below Threshold,Above 3%,Central African Republic,Low,$0,Africa,12/1/2012,3.4%,67%,,22,187,,$2B,$479,3.8%,$18,483,0.098,3%,,50,51,48,25%,1,0.401,0.561,0.039,4.5M,39.3%,,
Below Threshold,Above 3%,Mauritania,Low,$0,Africa,12/1/2012,3.4%,68%,,19,171,,$4B,"$1,043",6.4%,$52,696,0.068,5%,0.17,62,63,60,106%,1,0.402,0.566,0.032,3.8M,58.0%,,
Below Threshold,Above 3%,Sudan,Moderate,$0,Africa,12/1/2012,3.4%,36%,,36,143,,$63B,"$1,695",7.2%,$115,180,0.053,21%,,62,64,60,74%,1,0.415,0.553,0.032,37.2M,33.3%,$1B,$1B
Below Threshold,Above 3%,Ethiopia,Moderate,$0,Africa,12/1/2012,3.4%,33%,,15,124,,$43B,$467,3.8%,$18,306,0.046,2%,,63,65,61,22%,1,0.433,0.533,0.034,91.7M,18.2%,$2B,$0B
Below Threshold,Above 3%,Madagascar,Moderate,$0,Africa,12/1/2012,3.5%,36%,,8,144,,$10B,$443,4.1%,$18,201,0.041,2%,0.6,65,66,63,39%,1,0.427,0.545,0.028,22.3M,33.2%,,
Below Threshold,Above 3%,Sao Tome and Principe,Low,$0,Africa,12/1/2012,3.5%,33%,,5,166,,$0B,"$1,400",7.9%,$109,424,0.038,22%,0.262,66,68,64,65%,1,0.416,0.55,0.034,0.2M,63.3%,$0B,$0B
Below Threshold,Above 3%,Equatorial Guinea,Low,"$18,752",Africa,12/1/2012,3.6%,44%,,135,164,,$16B,"$22,391",4.7%,"$1,138",492,0.071,14%,,53,54,51,68%,1,0.39,0.582,0.028,0.7M,39.5%,,
Above Threshold,Above 3%,Liberia,Low,$0,Africa,12/1/2012,3.6%,27%,,6,149,,$2B,$414,15.5%,$65,158,0.056,4%,0.135,60,61,59,57%,1,0.431,0.539,0.03,4.2M,48.5%,,
Below Threshold,Above 3%,Comoros,Low,$0,Africa,12/1/2012,3.6%,218%,,20,160,,$1B,$831,4.5%,$38,100,0.059,6%,0.105,61,62,59,40%,1,0.422,0.55,0.029,0.7M,28.0%,,
Below Threshold,Above 3%,Kenya,Moderate,$0,Africa,12/1/2012,3.6%,44%,,32,122,,$40B,$933,4.7%,$45,340,0.049,32%,0.197,61,63,59,71%,1,0.424,0.55,0.026,43.2M,24.4%,$2B,$0B
Below Threshold,Above 3%,Rwanda,Friendly,$0,Africa,12/1/2012,3.6%,31%,,3,54,,$7B,$623,10.7%,$66,134,0.039,8%,,64,65,62,50%,1,0.436,0.541,0.023,11.5M,25.9%,$0B,$0B
Above Threshold,Above 3%,Sierra Leone,Moderate,$0,Africa,12/1/2012,3.7%,32%,,12,137,,$4B,$633,15.1%,$96,357,0.11,1%,0.21,46,46,45,37%,1,0.417,0.556,0.026,6.0M,38.9%,$0B,$0B
Below Threshold,Above 3%,Cote d'Ivoire,Low,$0,Africa,12/1/2012,3.7%,39%,,32,173,,$25B,"$1,244",7.1%,$88,270,0.073,2%,,51,51,50,91%,1,0.415,0.554,0.031,19.8M,52.0%,,
Below Threshold,Above 3%,South Sudan,Low,$0,Africa,12/1/2012,3.7%,26%,,17,184,,$11B,$974,2.6%,$27,218,0.066,,,55,56,54,21%,1,0.423,0.543,0.035,10.8M,18.2%,,
Below Threshold,Above 3%,Guinea,Low,$0,Africa,12/1/2012,3.7%,91%,,35,179,,$6B,$493,6.3%,$32,416,0.067,2%,,56,57,55,49%,1,0.425,0.544,0.031,11.5M,35.7%,$0B,$0B
Below Threshold,Above 3%,Togo,Low,$0,Africa,12/1/2012,3.7%,49%,,38,159,,$4B,$589,8.6%,$41,270,0.057,4%,,56,57,55,50%,1,0.419,0.554,0.027,6.6M,38.5%,,
Below Threshold,Above 3%,Benin,Low,$0,Africa,12/1/2012,3.7%,66%,,26,175,,$8B,$751,4.5%,$33,270,0.058,5%,,60,61,58,84%,1,0.43,0.542,0.029,10.1M,42.7%,$0B,
Below Threshold,Above 3%,Eritrea,Low,$0,Africa,12/1/2012,3.7%,85%,,84,185,,$3B,$504,2.6%,$15,216,0.037,1%,,63,65,60,5%,1,0.431,0.547,0.022,6.1M,21.4%,,
Below Threshold,Above 3%,Guinea-Bissau,Low,$0,Africa,12/1/2012,3.8%,46%,,9,181,,$1B,$494,5.9%,$30,208,0.08,3%,,55,56,53,63%,1,0.416,0.555,0.029,1.7M,46.9%,,
Below Threshold,Above 3%,Cameroon,Low,$0,Africa,12/1/2012,3.8%,49%,,15,162,,$26B,"$1,220",5.1%,$59,654,0.062,6%,,55,56,54,60%,1,0.431,0.537,0.032,21.7M,52.7%,$0B,$1B
Below Threshold,Above 3%,Congo (Brazzaville),Low,$0,Africa,12/1/2012,3.8%,65%,,161,186,,$14B,"$3,154",3.2%,$100,606,0.037,6%,,59,60,57,99%,1,0.424,0.542,0.034,4.3M,64.1%,,
Below Threshold,Above 3%,Senegal,Low,$0,Africa,12/1/2012,3.8%,46%,,6,176,,$14B,"$1,023",5.0%,$51,666,0.045,19%,,64,65,62,84%,1,0.435,0.534,0.03,13.7M,42.8%,,
Below Threshold,Above 3%,Mozambique,Moderate,$0,Africa,12/1/2012,3.9%,38%,,13,142,,$14B,$570,6.4%,$37,230,0.064,5%,0.168,50,51,49,35%,1,0.454,0.514,0.033,25.2M,31.4%,$0B,$0B
